Frame 2100: Character pos=(0.0, 0.0, 0.0), Room=3526, Speed=0.00, Time=6583576
Frame 2200: Character pos=(0.0, 0.0, 0.0), Room=3992, Speed=0.00, Time=6583576
Frame 2300: Character pos=(0.0, 0.0, 0.0), Room=4474, Speed=0.00, Time=6583576
Frame 2400: Character pos=(0.0, 0.0, 0.0), Room=4920, Speed=0.00, Time=6583576
Frame 2500: Character pos=(0.0, 0.0, 0.0), Room=5351, Speed=0.00, Time=6583576
Frame 2600: Character pos=(0.0, 0.0, 0.0), Room=5813, Speed=0.00, Time=6583576
Frame 2700: Character pos=(0.0, 0.0, 0.0), Room=6285, Speed=0.00, Time=6583576
Frame 2800: Character pos=(0.0, 0.0, 0.1), Room=6826, Speed=0.00, Time=6583576
Frame 2900: Character pos=(0.0, 0.0, 0.4), Room=7408, Speed=0.00, Time=6583576
Frame 3000: Character pos=(0.0, 0.0, 0.4), Room=8017, Speed=0.00, Time=6583576
Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-5987, Speed=0.00, Time=10497376
Frame 100: Character pos=(0.0, 0.0, 0.0), Room=-5490, Speed=0.00, Time=10497376
Frame 200: Character pos=(0.0, 0.0, 0.0), Room=-4977, Speed=0.00, Time=10497376
Frame 300: Character pos=(0.0, 0.0, 0.0), Room=-4409, Speed=0.00, Time=10497376
Frame 400: Character pos=(0.0, 0.0, 0.0), Room=-3863, Speed=0.00, Time=10497376
Frame 500: Character pos=(0.0, 0.0, 0.0), Room=-3390, Speed=0.00, Time=10497376
Frame 600: Character pos=(0.0, 0.0, 0.0), Room=-2888, Speed=0.00, Time=10497376
Frame 700: Character pos=(0.0, 0.0, 0.0), Room=-2340, Speed=0.00, Time=10497376
Frame 800: Character pos=(0.0, 0.0, 0.0), Room=-1763, Speed=0.00, Time=10497376
Frame 900: Character pos=(0.0, 0.0, 0.0), Room=-1295, Speed=0.00, Time=10497376
Frame 1000: Character pos=(0.0, 0.0, 0.0), Room=-823, Speed=0.00, Time=10497376
Frame 1100: Character pos=(0.0, 0.0, 0.0), Room=-370, Speed=0.00, Time=10497376
Frame 1200: Character pos=(0.0, 0.0, 0.0), Room=122, Speed=0.00, Time=10497376
Frame 1300: Character pos=(0.0, 0.0, 0.0), Room=664, Speed=0.00, Time=10497376
Frame 1400: Character pos=(0.0, 0.0, 0.0), Room=1199, Speed=0.00, Time=10497376
Frame 1500: Character pos=(0.0, 0.0, 0.0), Room=1751, Speed=0.00, Time=10497376
Frame 1600: Character pos=(0.0, 0.0, 0.0), Room=2202, Speed=0.00, Time=10497376
Frame 1700: Character pos=(0.0, 0.0, 0.0), Room=2670, Speed=0.00, Time=10497376
Frame 1800: Character pos=(0.0, 0.0, 0.0), Room=3091, Speed=0.00, Time=10497376
Frame 1900: Character pos=(0.0, 0.0, 0.0), Room=3553, Speed=0.00, Time=10497376
Frame 2000: Character pos=(0.0, 0.0, 0.0), Room=4028, Speed=0.00, Time=10497376
Frame 2100: Character pos=(0.0, 0.0, 0.0), Room=4506, Speed=0.00, Time=10497376
Frame 2200: Character pos=(0.0, 0.0, 0.0), Room=5057, Speed=0.00, Time=10497376
Frame 2300: Character pos=(0.0, 0.0, 0.1), Room=5617, Speed=0.00, Time=10497376
Frame 2400: Character pos=(0.0, 0.0, 0.1), Room=6088, Speed=0.00, Time=10497376
Frame 2500: Character pos=(0.0, 0.0, 0.1), Room=6562, Speed=0.00, Time=10497376
Frame 2600: Character pos=(0.0, 0.0, 0.1), Room=7006, Speed=0.00, Time=10497376
Frame 2700: Character pos=(0.0, 0.0, 0.1), Room=7541, Speed=0.00, Time=10497376
Frame 2800: Character pos=(0.0, 0.0, 0.0), Room=8032, Speed=0.00, Time=10497376
Frame 2800: Character pos=(0.0, 0.0, 0.0), Room=8032, Speed=0.00, Time=10497376
Frame 2900: Character pos=(0.0, 0.0, 0.1), Room=8499, Speed=0.00, Time=10497376
Frame 3000: Character pos=(0.0, 0.0, 0.1), Room=8971, Speed=0.00, Time=10497376
Frame 3100: Character pos=(0.0, 0.0, 0.1), Room=9431, Speed=0.00, Time=10497376
Frame 3200: Character pos=(0.0, 0.0, 0.1), Room=9892, Speed=0.00, Time=10497376
